Mod_Inf,Mod_Lng_Inf,Mod_Ctl,Mod_Lng_Ctl,Genes_diff,Perc_diff
mod_merged_antiquewhite,21,21,21,21,21
mod_merged_dodgerblue4,21,21,21,21,21
mod_merged_tan3,21,21,21,21,21
mod_merged_steelblue,21,21,21,21,21
mod_merged_palevioletred1,21,21,21,21,21
mod_merged_oldlace,21,21,21,21,21
mod_merged_mistyrose3,21,21,21,21,21
mod_merged_mediumpurple1,21,21,21,21,21
mod_merged_indianred,21,21,21,21,21
mod_merged_hotpink3,21,21,21,21,21
mod_merged_green3,21,21,21,21,21
mod_merged_green,21,21,21,21,21
mod_merged_green1,21,21,21,21,21
mod_merged_tomato2,21,21,21,21,21
mod_merged_chocolate2,21,21,21,21,21
mod_merged_darkolivegreen4,21,21,21,21,21
mod_merged_blue2,21,21,21,21,21
mod_merged_darkolivegreen2,21,21,21,21,21
mod_merged_brown2,21,21,21,21,21
mod_merged_chocolate,21,21,21,21,21
mod_merged_deepskyblue,21,21,21,21,21
mod_merged_coral4,21,21,21,21,21
mod_merged_thistle1,20,20,20,20,20
mod_merged_skyblue4,20,20,20,20,20
mod_merged_palevioletred3,20,20,20,20,20
mod_merged_burlywood,20,20,20,20,20
mod_merged_lightsteelblue,20,20,20,20,20
mod_merged_lightblue2,20,20,20,20,20
mod_merged_lemonchiffon3,20,20,20,20,20
mod_merged_cornsilk2,20,20,20,20,20
mod_merged_darkmagenta,20,20,20,20,20
mod_merged_bisque4,20,20,20,20,20
mod_merged_firebrick2,20,20,20,20,20
mod_merged_lavender,19,19,19,19,19
mod_merged_dodgerblue1,19,19,19,19,19
